category,shopping_mall,age,quantity,price,month
1,4,10,4,32,7
4,2,3,2,33,11
1,6,2,0,25,10
4,7,48,4,36,4
0,4,35,3,15,9
1,2,10,4,32,4
2,3,31,0,11,2
1,5,14,1,26,0
1,6,51,2,28,10
1,4,42,1,26,7
3,6,18,1,1,11
0,1,11,0,3,9
7,6,49,3,21,6
1,0,7,1,26,10
1,4,49,1,26,5
4,8,6,4,36,10
0,6,47,1,8,0
3,9,24,2,4,0
1,7,28,1,26,6
7,0,6,3,21,2
1,1,5,0,25,1
3,0,9,0,0,4
1,0,34,1,26,5
6,4,26,4,39,9
0,6,24,4,17,11
7,3,33,1,16,4
2,5,7,4,24,3
4,1,32,3,35,9
4,0,47,2,33,7
2,3,11,2,20,3
7,5,48,2,19,6
1,1,5,0,25,10
4,4,14,2,33,1
1,6,33,3,30,6
4,9,48,3,35,7
3,1,50,0,0,0
1,4,25,4,32,5
1,6,41,1,26,6
1,4,36,1,26,1
1,7,6,0,25,11
3,9,31,2,4,8
2,7,49,1,18,1
2,6,30,2,20,3
4,6,22,3,35,5
4,4,23,2,33,3
0,9,28,4,17,11
2,5,1,2,20,0
1,9,25,3,30,10
2,9,0,2,20,1
0,2,4,4,17,5
2,1,43,4,24,7
0,3,23,2,12,1
2,3,35,1,18,0
6,6,25,3,38,1
3,8,27,2,4,2
1,3,11,0,25,0
7,4,25,1,16,10
1,4,1,3,30,3
3,4,49,2,4,5
0,4,18,3,15,11
1,5,46,4,32,5
1,4,15,0,25,10
1,4,15,3,30,1
1,5,48,3,30,2
2,7,11,3,22,4
7,5,4,2,19,9
3,0,45,2,4,0
5,3,6,4,14,2
2,6,6,4,24,3
6,5,26,4,39,10
4,2,16,4,36,8
2,4,29,3,22,8
3,5,20,4,7,7
4,1,39,4,36,9
7,1,49,2,19,0
5,0,23,2,9,5
1,4,22,4,32,3
4,6,51,3,35,8
3,5,29,4,7,6
3,3,35,3,5,6
7,1,22,1,16,10
2,6,42,3,22,0
5,4,12,1,6,2
1,3,48,1,26,8
3,5,4,0,0,1
3,4,35,1,1,3
1,9,34,4,32,9
4,5,8,4,36,3
3,5,48,0,0,5
1,7,47,3,30,0
6,4,25,1,34,7
7,4,41,0,10,9
5,4,12,4,14,6
2,6,7,1,18,11
7,5,11,2,19,5
1,0,1,1,26,11
1,7,44,4,32,11
3,2,21,2,4,7
1,4,15,2,28,6
3,5,8,3,5,4
6,8,25,2,37,4
3,4,22,2,4,11
1,4,37,3,30,0
1,8,6,4,32,8
2,6,6,0,11,1
3,6,12,4,7,0
1,5,16,4,32,1
1,0,46,4,32,9
1,5,39,4,32,8
2,3,0,3,22,11
1,9,8,3,30,7
3,1,1,2,4,9
0,4,4,2,12,10
1,4,30,0,25,2
5,3,38,4,14,9
1,8,17,1,26,0
7,6,42,3,21,5
1,2,14,0,25,0
1,4,9,3,30,10
1,3,38,1,26,8
2,6,17,3,22,4
1,7,50,0,25,11
6,4,46,1,34,3
7,2,42,3,21,5
7,4,46,4,23,1
1,1,23,2,28,7
3,6,12,4,7,11
1,5,22,0,25,1
1,4,11,1,26,9
1,5,7,2,28,7
1,4,42,3,30,8
3,6,24,4,7,9
3,7,36,0,0,11
1,4,32,4,32,5
1,7,36,0,25,3
0,6,27,3,15,11
2,9,22,0,11,4
0,6,6,2,12,3
1,5,22,3,30,11
6,7,14,1,34,1
1,5,10,2,28,9
7,5,4,0,10,11
1,6,3,0,25,8
1,4,13,1,26,1
3,5,43,2,4,9
2,4,49,1,18,10
4,4,34,4,36,7
1,7,26,3,30,9
3,4,30,1,1,8
3,6,35,2,4,6
7,5,9,3,21,6
2,8,10,3,22,2
7,0,25,3,21,4
5,4,36,4,14,3
3,4,23,4,7,9
2,3,41,4,24,11
1,7,14,0,25,2
5,7,23,4,14,5
6,5,12,2,37,5
1,3,4,0,25,7
1,0,33,3,30,10
3,8,5,1,1,6
7,4,22,1,16,1
1,1,19,4,32,1
1,5,6,0,25,2
3,4,4,0,0,7
2,4,43,3,22,9
3,6,7,1,1,4
5,9,48,4,14,2
4,4,41,0,27,9
1,7,20,3,30,3
7,6,16,1,16,1
1,4,8,0,25,2
5,6,41,4,14,4
7,5,35,0,10,0
