category,shopping_mall,gender,age,quantity,price,month,year,payment_method
1,4,0,10,4,32,7,1,0
4,2,1,3,2,33,11,0,0
1,6,1,2,0,25,10,0,1
4,7,0,48,4,36,4,0,0
0,4,0,35,3,15,9,0,1
1,2,0,10,4,32,4,1,0
2,3,0,31,0,11,2,1,1
1,5,0,14,1,26,0,0,0
1,6,1,51,2,28,10,0,0
1,4,0,42,1,26,7,0,0
3,6,0,18,1,1,11,1,1
0,1,0,11,0,3,9,1,0
7,6,0,49,3,21,6,1,0
1,0,1,7,1,26,10,1,1
1,4,0,49,1,26,5,1,0
4,8,1,6,4,36,10,0,0
0,6,1,47,1,8,0,0,0
3,9,0,24,2,4,0,1,0
1,7,0,28,1,26,6,0,1
7,0,1,6,3,21,2,2,1
1,1,1,5,0,25,1,2,0
3,0,0,9,0,0,4,0,1
1,0,1,34,1,26,5,1,0
6,4,1,26,4,39,9,0,1
0,6,0,24,4,17,11,1,1
7,3,1,33,1,16,4,0,0
2,5,0,7,4,24,3,1,0
4,1,1,32,3,35,9,1,1
4,0,0,47,2,33,7,1,1
2,3,1,11,2,20,3,0,0
7,5,0,48,2,19,6,1,0
1,1,1,5,0,25,10,0,0
4,4,0,14,2,33,1,1,0
1,6,1,33,3,30,6,0,0
4,9,0,48,3,35,7,1,0
3,1,1,50,0,0,0,2,0
1,4,1,25,4,32,5,1,0
1,6,0,41,1,26,6,1,0
1,4,1,36,1,26,1,1,1
1,7,1,6,0,25,11,1,1
3,9,0,31,2,4,8,0,1
2,7,1,49,1,18,1,1,0
2,6,0,30,2,20,3,1,1
4,6,0,22,3,35,5,1,1
4,4,0,23,2,33,3,1,0
0,9,1,28,4,17,11,1,0
2,5,0,1,2,20,0,2,0
1,9,0,25,3,30,10,1,0
2,9,1,0,2,20,1,1,0
0,2,0,4,4,17,5,0,0
2,1,0,43,4,24,7,0,1
0,3,0,23,2,12,1,2,1
2,3,0,35,1,18,0,2,0
6,6,0,25,3,38,1,1,1
3,8,0,27,2,4,2,0,0
1,3,0,11,0,25,0,1,1
7,4,1,25,1,16,10,0,1
1,4,0,1,3,30,3,0,0
3,4,0,49,2,4,5,0,1
0,4,0,18,3,15,11,0,1
1,5,1,46,4,32,5,1,0
1,4,0,15,0,25,10,0,0
1,4,0,15,3,30,1,0,0
1,5,1,48,3,30,2,1,1
2,7,0,11,3,22,4,1,0
7,5,1,4,2,19,9,1,1
3,0,0,45,2,4,0,1,1
5,3,0,6,4,14,2,0,0
2,6,0,6,4,24,3,1,1
6,5,0,26,4,39,10,0,0
4,2,1,16,4,36,8,1,1
2,4,0,29,3,22,8,0,1
3,5,1,20,4,7,7,1,1
4,1,0,39,4,36,9,0,0
7,1,1,49,2,19,0,2,1
5,0,1,23,2,9,5,0,0
1,4,0,22,4,32,3,0,0
4,6,0,51,3,35,8,0,1
3,5,0,29,4,7,6,1,1
3,3,0,35,3,5,6,0,0
7,1,1,22,1,16,10,1,1
2,6,1,42,3,22,0,2,0
5,4,1,12,1,6,2,0,1
1,3,0,48,1,26,8,1,0
3,5,1,4,0,0,1,1,1
3,4,1,35,1,1,3,0,1
1,9,0,34,4,32,9,1,1
4,5,1,8,4,36,3,1,1
3,5,1,48,0,0,5,1,1
1,7,1,47,3,30,0,2,0
6,4,0,25,1,34,7,1,1
7,4,0,41,0,10,9,0,0
5,4,0,12,4,14,6,0,0
2,6,0,7,1,18,11,1,0
7,5,0,11,2,19,5,0,0
1,0,0,1,1,26,11,0,0
1,7,1,44,4,32,11,1,0
3,2,1,21,2,4,7,1,1
1,4,0,15,2,28,6,1,1
3,5,0,8,3,5,4,0,0
6,8,1,25,2,37,4,1,0
3,4,0,22,2,4,11,1,0
1,4,1,37,3,30,0,2,0
1,8,0,6,4,32,8,0,0
2,6,1,6,0,11,1,1,1
3,6,0,12,4,7,0,1,0
1,5,1,16,4,32,1,1,0
1,0,0,46,4,32,9,1,1
1,5,0,39,4,32,8,1,1
2,3,1,0,3,22,11,0,0
1,9,0,8,3,30,7,0,1
3,1,0,1,2,4,9,0,0
0,4,0,4,2,12,10,0,1
1,4,1,30,0,25,2,1,1
5,3,0,38,4,14,9,1,1
1,8,1,17,1,26,0,1,1
7,6,0,42,3,21,5,0,0
1,2,0,14,0,25,0,2,0
1,4,1,9,3,30,10,0,0
1,3,0,38,1,26,8,1,0
2,6,1,17,3,22,4,0,0
1,7,0,50,0,25,11,0,0
6,4,0,46,1,34,3,1,1
7,2,0,42,3,21,5,0,1
7,4,1,46,4,23,1,1,0
1,1,0,23,2,28,7,0,0
3,6,1,12,4,7,11,0,1
1,5,1,22,0,25,1,0,0
1,4,0,11,1,26,9,0,1
1,5,1,7,2,28,7,1,1
1,4,0,42,3,30,8,0,1
3,6,0,24,4,7,9,0,1
3,7,1,36,0,0,11,0,1
1,4,0,32,4,32,5,0,1
1,7,1,36,0,25,3,0,0
0,6,0,27,3,15,11,0,1
2,9,0,22,0,11,4,0,0
0,6,1,6,2,12,3,1,0
1,5,1,22,3,30,11,0,1
6,7,0,14,1,34,1,0,0
1,5,0,10,2,28,9,0,1
7,5,0,4,0,10,11,1,1
1,6,0,3,0,25,8,1,0
1,4,0,13,1,26,1,2,0
3,5,0,43,2,4,9,1,0
2,4,0,49,1,18,10,0,1
4,4,1,34,4,36,7,0,1
1,7,1,26,3,30,9,1,0
3,4,0,30,1,1,8,1,0
3,6,0,35,2,4,6,0,1
7,5,1,9,3,21,6,0,1
2,8,0,10,3,22,2,1,1
7,0,0,25,3,21,4,1,0
5,4,1,36,4,14,3,1,0
3,4,1,23,4,7,9,0,0
2,3,0,41,4,24,11,0,1
1,7,0,14,0,25,2,1,0
5,7,0,23,4,14,5,1,0
6,5,0,12,2,37,5,0,0
1,3,1,4,0,25,7,1,0
1,0,0,33,3,30,10,0,1
3,8,0,5,1,1,6,0,0
7,4,1,22,1,16,1,1,1
1,1,1,19,4,32,1,2,1
1,5,0,6,0,25,2,0,1
3,4,1,4,0,0,7,1,0
2,4,0,43,3,22,9,0,1
3,6,0,7,1,1,4,1,0
5,9,0,48,4,14,2,1,0
4,4,0,41,0,27,9,0,1
1,7,1,20,3,30,3,0,1
7,6,1,16,1,16,1,2,0
1,4,0,8,0,25,2,0,1
5,6,0,41,4,14,4,1,1
7,5,0,35,0,10,0,2,0
2,8,1,5,3,22,9,0,0
1,8,0,5,4,32,7,1,0
6,0,0,48,2,37,2,0,0
2,5,0,38,3,22,10,1,1
5,7,0,20,1,6,1,0,0
1,0,1,10,2,28,3,0,1
3,7,0,26,0,0,6,1,1
3,5,0,8,3,5,1,0,1
2,8,0,23,3,22,6,1,0
1,8,1,32,3,30,6,0,1
2,5,0,5,2,20,4,1,1
2,7,0,13,3,22,1,2,1
2,2,1,8,4,24,10,1,0
3,8,0,38,2,4,2,0,1
7,4,0,16,3,21,9,0,1
1,4,0,11,1,26,10,0,1
1,5,0,2,0,25,0,2,0
2,2,0,36,2,20,5,1,0
1,6,1,22,3,30,4,0,0
2,3,1,22,4,24,0,0,1
0,5,1,3,3,15,6,0,1
6,9,0,14,1,34,8,1,1
1,6,1,29,2,28,8,0,0
5,0,0,23,2,9,0,1,1
